equation,equation_en
$ C_U : =\phi_ { W } ^ { -1 } ( U ) $,C subscript U colon equals \phi subscript open brace W close brace to the power of open brace minus 1 close brace open parenthesis U close parenthesis
$ \widehat\P_ { \alpha } $,\widehat \P subscript open brace \alpha close brace
$ \hat { \Vec { z } } _0 $,\hat open brace \Vec open brace z close brace close brace subscript 0
$ \m\Lambda $,\m \Lambda
"$ \bigsqcup_ { ( n , m ) \in I } R ( n , m ) $",\bigsqcup subscript open brace open parenthesis n comma m close parenthesis \in I close brace R open parenthesis n comma m close parenthesis
"$ \bm { P } ( m , t ) = ( P_1 ( m , t ) , \dots , P_S ( m , t ) ) $",\bm open brace P close brace open parenthesis m comma t close parenthesis equals open parenthesis P subscript 1 open parenthesis m comma t close parenthesis comma \dots comma P subscript S open parenthesis m comma t close parenthesis close parenthesis
"$ \Pi_1 , \Pi_2 \preceq \mathbb { I } _ { \cH } $",\Pi subscript 1 comma \Pi subscript 2 \preceq \mathbb open brace I close brace subscript open brace \cH close brace
$ 2U\oplus mA_1 $,2U \oplus mA subscript 1
"$ in Fig.~\ref { Ruppe1bis } ) , $",in Fig point tilde \ref open brace Ruppe1bis close brace close parenthesis comma
"$ \bm A_ { j } = ( \bm A_ { j1 } , \ldots , \bm A_ { j , j-1 } ) $",\bm A subscript open brace j close brace equals open parenthesis \bm A subscript open brace j1 close brace comma \ldots comma \bm A subscript open brace j comma j minus 1 close brace close parenthesis
"$ a=2.150 ( q=R_\Moon+200 , e=0.1 ) $",a equals 2 point 150 open parenthesis q equals R subscript \Moon plus 200 comma e equals 0 point 1 close parenthesis
$ \sum_a f_ { \mathcal { A } } ( a ) = 0 $,\sum subscript a f subscript open brace \mathcal open brace A close brace close brace open parenthesis a close parenthesis equals 0
$ 0.34 \pm 0.02 $,0 point 34 \pm 0 point 02
$ g_ { 0 } ( 1 ) \leq\alpha $,g subscript open brace 0 close brace open parenthesis 1 close parenthesis \leq \alpha
"$ \Delta k_ { 3,2 } \leq\mathcal { O } ( ( \Delta\theta ) ^ { 2 } ) $",\Delta k subscript open brace 3 comma 2 close brace \leq \mathcal open brace O close brace open parenthesis open parenthesis \Delta \theta close parenthesis to the power of open brace 2 close brace close parenthesis
$ \sigma^ * ( f_n ) \rightarrow -\infty $,\sigma to the power of times open parenthesis f subscript n close parenthesis \rightarrow minus \infty
$ t_n = t_ { 0 } - \Delta t_s - ( N_s-l ) f\Delta t $,t subscript n equals t subscript open brace 0 close brace minus \Delta t subscript s minus open parenthesis N subscript s minus l close parenthesis f \Delta t
$ v_i\in \zeta_x^ { \Omega ( x ) } =\ { v_0 < v_1 < \ldots < v_n\ } $,v subscript i \in \zeta subscript x to the power of open brace \Omega open parenthesis x close parenthesis close brace equals \ open brace v subscript 0 less than v subscript 1 less than \ldots less than v subscript n \ close brace
$ \kappa_i=0.3 $,\kappa subscript i equals 0 point 3
$ \Omega=\BB { R } $,\Omega equals \BB open brace R close brace
$ \mu_2 > d\sigma ( < 1 ) $,\mu subscript 2 greater than d \sigma open parenthesis less than 1 close parenthesis
"$ g'= ( v_0 ' , e_n ' , \ldots , e_ { 2 } ' , d_1 ' , w_0 ' ) $",g' equals open parenthesis v subscript 0 ' comma e subscript n ' comma \ldots comma e subscript open brace 2 close brace ' comma d subscript 1 ' comma w subscript 0 ' close parenthesis
"$ w t\left ( \tilde { c } _ { 0,0 } \right ) =0 $",w t \left open parenthesis \tilde open brace c close brace subscript open brace 0 comma 0 close brace \right close parenthesis equals 0
$ z^ { \uparrow } $,z to the power of open brace \uparrow close brace
$ \mathcal { M } \approx 0.605 $,\mathcal open brace M close brace \approx 0 point 605
$ \ker \of { \varphi } $,\ker \of open brace \varphi close brace
$ D_ { KL } \left ( P^t\lVert P^e\right ) $,D subscript open brace KL close brace \left open parenthesis P to the power of t \lVert P to the power of e \right close parenthesis
"$ C_ { d , \cX } \coloneqq 2^\frac { 1 } { d+1 } 16 C^\prime_ { d , \cX } $",C subscript open brace d comma \cX close brace \coloneqq 2 to the power of frac open brace 1 close brace open brace d plus 1 close brace 16 C to the power of \prime subscript open brace d comma \cX close brace
$ \boldsymbol { M } ( \boldsymbol { \lambda } _k ) = \boldsymbol { \rho } _k $,\boldsymbol open brace M close brace open parenthesis \boldsymbol open brace \lambda close brace subscript k close parenthesis equals \boldsymbol open brace \rho close brace subscript k
"$ \mathcal { B } _ { m } = \ { X_ { m } , \ldots , X_ { m+B-1 } \ } $",\mathcal open brace B close brace subscript open brace m close brace equals \ open brace X subscript open brace m close brace comma \ldots comma X subscript open brace m plus B minus 1 close brace \ close brace
$ \lambda/2D $,\lambda divided by 2D
$ \delta = \gamma/2 $,\delta equals \gamma divided by 2
"$ ( { \cal X } , { \cal \widehat { X } } ) $",open parenthesis open brace \cal X close brace comma open brace \cal \widehat open brace X close brace close brace close parenthesis
"$ \zeta_ { M^ { -1 } } ( \Lambda , ( \vec { z } ) _ { M^ { -1 } } ) $",\zeta subscript open brace M to the power of open brace minus 1 close brace close brace open parenthesis \Lambda comma open parenthesis \vec open brace z close brace close parenthesis subscript open brace M to the power of open brace minus 1 close brace close brace close parenthesis
$ p \nmid a_0a_3 $,p \nmid a subscript 0a subscript 3
$ \bi { p } _ { \rm mut } = \bi { a } + F ( \bi { b } - \bi { c } ) $,\bi open brace p close brace subscript open brace \rm mut close brace equals \bi open brace a close brace plus F open parenthesis \bi open brace b close brace minus \bi open brace c close brace close parenthesis
$ |e \cap f| = k-1 $,vertical bar e \cap f vertical bar equals k minus 1
$ t\leq T^\ast $,t \leq T to the power of \ast
$ c_2\not\in xy $,c subscript 2 \not \in xy
"$ b ' _ { \ell , k + 1 } < \frac { 1 } { 2 } + \frac { 2\gamma } { 32 } $",b ' subscript open brace \ell comma k plus 1 close brace less than frac open brace 1 close brace open brace 2 close brace plus frac open brace 2 \gamma close brace open brace 32 close brace
$ p_a \to q_a $,p subscript a \to q subscript a
"$ & 100~MHz \\ BER requirements , $",and 100 tilde MHz \ \ BER requirements comma
$ \prob { |\corr { S } |=d } =1 $,\prob open brace vertical bar \corr open brace S close brace vertical bar equals d close brace equals 1
$ -6.8^\circ $,minus 6 point 8 to the power of \circ
"$ g \in L^ { q_2 , r_2 } ( \mathbb R^d ) $",g \in L to the power of open brace q subscript 2 comma r subscript 2 close brace open parenthesis \mathbb R to the power of d close parenthesis
"$ \uk \in \cL ( d , n-d ) $",\uk \in \cL open parenthesis d comma n minus d close parenthesis
$ \eta_\omega = \lim Z_n ( \omega ) _\ast \eta $,\eta subscript \omega equals \lim Z subscript n open parenthesis \omega close parenthesis subscript \ast \eta
$ U ( z ) =\pm\ii $,U open parenthesis z close parenthesis equals \pm \ii
$ \ { X_s\ } _ { s\in\Se } $,\ open brace X subscript s \ close brace subscript open brace s \in \Se close brace
$ { \mathbb L } ^ { \mbox { \tiny dTac } } _i $,open brace \mathbb L close brace to the power of open brace \mbox open brace \tiny dTac close brace close brace subscript i
$ \kappa_ { ii } ( T ) $,\kappa subscript open brace ii close brace open parenthesis T close parenthesis
$ \text { supp } ( \L ) $,\text open brace supp close brace open parenthesis \L close parenthesis
$ -0.28\pm0.08 $,minus 0 point 28 \pm 0 point 08
$ z\sim 10^2 $,z \sim 10 to the power of 2
$ \mathrm { range } ( \mathbf { M } ) ^\perp $,\mathrm open brace range close brace open parenthesis \mathbf open brace M close brace close parenthesis to the power of \perp
$ \psi_i ( \vec { x } ) = \sqrt { \gamma_i } \phi_i ( \vec { x } ) $,\psi subscript i open parenthesis \vec open brace x close brace close parenthesis equals \sqrt open brace \gamma subscript i close brace \phi subscript i open parenthesis \vec open brace x close brace close parenthesis
$ x ' \in \mathbf { R } ^ { n-1 } $,x ' \in \mathbf open brace R close brace to the power of open brace n minus 1 close brace
$ \Xi _ { b } ^ { - } \rightarrow \Xi ^ { - } \gamma $,\Xi subscript open brace b close brace to the power of open brace minus close brace \rightarrow \Xi to the power of open brace minus close brace \gamma
"$ K\subset \mathbb\ { R^d , $",K \subset \mathbb \ open brace R to the power of d comma
$ w\in V_T\setminus S $,w \in V subscript T \setminus S
$ w\in V_ { T_y } $,w \in V subscript open brace T subscript y close brace
$ is \emph { consistent } if for every $,is \emph open brace consistent close brace if for every
$ \mu=\delta_c $,\mu equals \delta subscript c
"$ \Ob ( \max ( N^3 , M^3 ) ) $",\Ob open parenthesis \max open parenthesis N to the power of 3 comma M to the power of 3 close parenthesis close parenthesis
$ \overset { i } { \beta } _+ $,\overset open brace i close brace open brace \beta close brace subscript plus
$ \hat A_j = A_j\cup\ { \hat a_j\ } $,\hat A subscript j equals A subscript j \cup \ open brace \hat a subscript j \ close brace
$ x \in \calo_c $,x \in \calo subscript c
$ 0 < \lambda < \lambda_\alpha $,0 less than \lambda less than \lambda subscript \alpha
$ \mathcal { C } _w $,\mathcal open brace C close brace subscript w
$ |\cdot|^m\omega_0^\delta $,vertical bar \cdot vertical bar to the power of m \omega subscript 0 to the power of \delta
"$ [ X , \mathfrak { F } ] \subset\mathfrak { F } $",open bracket X comma \mathfrak open brace F close brace close bracket \subset \mathfrak open brace F close brace
$ \theta_c = 1.6 $,\theta subscript c equals 1 point 6
"$ V_4 = \ { 1 , a , b , c\ } \subset SO ( 3 ) $",V subscript 4 equals \ open brace 1 comma a comma b comma c \ close brace \subset SO open parenthesis 3 close parenthesis
$ \nabla_ { L_k } R_j $,\nabla subscript open brace L subscript k close brace R subscript j
"$ \Lambda_c , \ , \Sigma_c , \ , \Xi_c $",\Lambda subscript c comma \ comma \Sigma subscript c comma \ comma \Xi subscript c
$ t_j = N_j ( \tau_ { \rm bs } + \tau_ { \rm B } ) $,t subscript j equals N subscript j open parenthesis \tau subscript open brace \rm bs close brace plus \tau subscript open brace \rm B close brace close parenthesis
$ \sgn ( x_ { 1 } ) \|x\| $,\sgn open parenthesis x subscript open brace 1 close brace close parenthesis \ vertical bar x \ vertical bar
$ \eta_A\neq 0 $,\eta subscript A \neq 0
"$ \bm { \mu } _ { jk , U } ( w ) \overline { \bm { \mu } _ { lm , U } ( w ) } $",\bm open brace \mu close brace subscript open brace jk comma U close brace open parenthesis w close parenthesis \overline open brace \bm open brace \mu close brace subscript open brace lm comma U close brace open parenthesis w close parenthesis close brace
"$ c_ { 0 , n } =\Delta\d_ { n,1 } $",c subscript open brace 0 comma n close brace equals \Delta \d subscript open brace n comma 1 close brace
$ V_i=G/\mathscr { C } _i ( G ) $,V subscript i equals G divided by \mathscr open brace C close brace subscript i open parenthesis G close parenthesis
"$ [ x ] ^ { + } =\max\ { 0 , x\ } $",open bracket x close bracket to the power of open brace plus close brace equals \max \ open brace 0 comma x \ close brace
$ \mathcal { B } _i^ { \mathfrak { P } } $,\mathcal open brace B close brace subscript i to the power of open brace \mathfrak open brace P close brace close brace
$ C-B^ { T } A^ { \dagger } B $,C minus B to the power of open brace T close brace A to the power of open brace \dagger close brace B
$ \seq { v_k } \subset L\^2\ ( \Omega_T\ ) $,\seq open brace v subscript k close brace \subset L \ to the power of 2 \ open parenthesis \Omega subscript T \ close parenthesis
$ a/R_\star $,a divided by R subscript \star
$ m_ { V } \lesssim 1\text { GeV } /c^2 $,m subscript open brace V close brace \lesssim 1 \text open brace GeV close brace divided by c to the power of 2
$ \rho_ { m_r } ^C $,\rho subscript open brace m subscript r close brace to the power of C
"$ ( w'_1 , \dots , w ' _ { k-1 } , w'_k,1 ) $",open parenthesis w' subscript 1 comma \dots comma w ' subscript open brace k minus 1 close brace comma w' subscript k comma 1 close parenthesis
$ \Gamma\ra G ( k ) $,\Gamma \ra G open parenthesis k close parenthesis
"$ f ( \textbf { X } , \lambda ) $",f open parenthesis \textbf open brace X close brace comma \lambda close parenthesis
$ || { \mathbf P } - { \mathbf M } { \mathbf F } ||_2^2 $,vertical bar vertical bar open brace \mathbf P close brace minus open brace \mathbf M close brace open brace \mathbf F close brace vertical bar vertical bar subscript 2 to the power of 2
$ |f ( \rho ( \gamma ) ) |\ne0 $,vertical bar f open parenthesis \rho open parenthesis \gamma close parenthesis close parenthesis vertical bar \ne 0
$ 53.6\pm0.0 $,53 point 6 \pm 0 point 0
"$ \alpha_1=3 , \alpha_2=4 $",\alpha subscript 1 equals 3 comma \alpha subscript 2 equals 4
$ \mathbb { E } [ \tilde { y } _t ] = 0 $,\mathbb open brace E close brace open bracket \tilde open brace y close brace subscript t close bracket equals 0
$ \cS_ { \sharp } = \ { j \in [ p - 1 ] : w_ { j } ^ { \star } \neq 0\ } $,\cS subscript open brace \sharp close brace equals \ open brace j \in open bracket p minus 1 close bracket colon w subscript open brace j close brace to the power of open brace \star close brace \neq 0 \ close brace
"$ j^ * _ { 0 , \alpha } ( \kappa_1 ) =\kappa^1_\alpha $",j to the power of times subscript open brace 0 comma \alpha close brace open parenthesis \kappa subscript 1 close parenthesis equals \kappa to the power of 1 subscript \alpha
$ M ( Y_1 + Y_2 + \cdots + Y_d ) \le \sqrt { \frac { e } { d } } M ( Y_1 ) . $,M open parenthesis Y subscript 1 plus Y subscript 2 plus \cdots plus Y subscript d close parenthesis \le \sqrt open brace frac open brace e close brace open brace d close brace close brace M open parenthesis Y subscript 1 close parenthesis point
